Node Number	Total Deformation (m)
626	0.17899
627	0.17912
628	0.17919
629	0.17929
630	0.17861
631	0.17884
632	0.17882
633	0.17916
634	0.17843
635	0.17862
636	0.17858
637	0.17887
638	0.17806
639	0.17825
640	0.17833
641	0.17857
642	0.1784
643	0.17829
644	0.17845
645	0.1905
646	0.19046
647	0.19041
648	0.19037
649	0.19034
650	0.19031
651	0.19027
652	0.19025
653	0.19024
654	0.19022
655	0.19021
656	0.19021
657	0.1902
658	0.19022
659	0.19023
660	0.19025
661	0.19028
662	0.19031
663	0.19034
664	0.19037
665	0.1904
666	0.19044
667	0.1905
668	0.19055
669	0.1906
670	0.19066
671	0.19071
672	0.19077
673	0.19082
674	0.19087
675	0.19094
676	0.19099
677	0.19105
678	0.19111
679	0.19116
680	0.1912
681	0.19124
682	0.19128
683	0.19132
684	0.19136
685	0.19138
686	0.19141
687	0.19143
688	0.19144
689	0.19145
690	0.19145
691	0.19144
692	0.19144
693	0.19143
694	0.19141
695	0.19139
696	0.19136
697	0.19133
698	0.19129
699	0.19125
700	0.1912
701	0.19116
702	0.19111
703	0.19106
704	0.191
705	0.19095
706	0.19089
707	0.19083
708	0.19076
709	0.19072
710	0.19066
711	0.19061
712	0.19057
713	0.19244
714	0.19215
715	0.19199
716	0.1925
717	0.19203
718	0.19259
719	0.1933
720	0.19298
721	0.19312
722	0.1929
723	0.19304
724	0.19302
725	0.19284
726	0.19303
727	0.19347
728	0.19331
729	0.19357
730	0.19293
731	0.19269
732	0.1928
733	0.19275
734	0.19258
735	0.19282
736	0.19269
737	0.19303
738	0.19226
739	0.19207
740	0.19213
741	0.19207
742	0.19203
743	0.19234
744	0.19254
745	0.19143
746	0.19139
747	0.19108
748	0.19114
749	0.19099
750	0.19126
751	0.19097
752	0.19103
753	0.19085
754	0.19095
755	0.19082
756	0.19095
757	0.19096
758	0.191
759	0.19086
760	0.19099
761	0.1909
762	0.19106
763	0.19108
764	0.19098
765	0.19129
766	0.19106
767	0.19137
768	0.19117
769	0.19133
770	0.19121
771	0.19137
772	0.19132
773	0.19151
774	0.19158
775	0.19167
776	0.19157
777	0.19173
778	0.19168
779	0.19185
780	0.1919
781	0.19183
782	0.19197
783	0.1919
784	0.19222
785	0.192
786	0.19211
787	0.19198
788	0.19211
789	0.19201
790	0.19214
791	0.19215
792	0.19218
793	0.19202
794	0.19212
795	0.19199
796	0.1921
797	0.19207
798	0.19192
799	0.19198
800	0.19183
801	0.19208
802	0.19178
803	0.19182
804	0.19162
805	0.19168
806	0.1915
807	0.19159
808	0.19154
809	0.19152
810	0.19131
811	0.19137
812	0.19121
813	0.19282
814	0.19273
815	0.19274
816	0.19264
817	0.19241
818	0.19219
819	0.19319
820	0.19291
821	0.19291
822	0.19345
823	0.19347
824	0.19345
825	0.19328
826	0.1932
827	0.19333
828	0.19298
829	0.19314
830	0.19325
831	0.19252
832	0.19249
833	0.19267
834	0.19234
835	0.19241
836	0.19249
837	0.19224
838	0.19238
839	0.19248
840	0.19237
841	0.19209
842	0.19218
843	0.19293
844	0.19271
845	0.19293
846	0.19331
847	0.19349
848	0.19322
849	0.19314
850	0.19325
851	0.19294
852	0.19262
853	0.26474
854	0.2644
855	0.26476
856	0.26413
857	0.26511
858	0.26474
859	0.26443
860	0.26421
861	0.26518
862	0.26483
863	0.26464
864	0.26424
865	0.26537
866	0.26524
867	0.26468
868	0.26439
869	0.26492
870	0.2646
871	0.26487
872	0.26419
873	0.26509
874	0.26475
875	0.26457
876	0.26421
877	0.26474
878	0.26436
879	0.26445
880	0.26393
881	0.26468
882	0.26393
883	0.26442
884	0.26396
885	0.20927
886	0.20921
887	0.20917
888	0.20914
889	0.2091
890	0.20908
891	0.20905
892	0.20903
893	0.20902
894	0.209
895	0.209
896	0.209
897	0.20901
898	0.20902
899	0.20903
900	0.20905
901	0.20908
902	0.20911
903	0.20914
904	0.20918
905	0.20922
906	0.20927
907	0.20931
908	0.20936
909	0.20942
910	0.20947
911	0.20952
912	0.20958
913	0.20963
914	0.20969
915	0.20974
916	0.2098
917	0.20985
918	0.2099
919	0.20995
920	0.20999
921	0.21003
922	0.21007
923	0.2101
924	0.21013
925	0.21016
926	0.21018
927	0.21019
928	0.2102
929	0.2102
930	0.2102
931	0.2102
932	0.21019
933	0.21017
934	0.21015
935	0.21012
936	0.2101
937	0.21006
938	0.21003
939	0.20999
940	0.20994
941	0.20989
942	0.20984
943	0.20979
944	0.20974
945	0.20968
946	0.20962
947	0.20957
948	0.20951
949	0.20946
950	0.20942
